VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757250708	63.3525	-1.69839	-0.724147	0.995615	-5.83141e-05	0.000856069	0.093538	1	0	0	1	0	3414.97	5.31457	img_Car1__0_1698757250697998300.png
Car1	1698757250794	63.8524	-1.60366	-0.724123	0.995615	-0.000114723	0.00112712	0.0935411	1	0	0	1	0	3677.99	5.54692	img_Car1__0_1698757250794266200.png
Car1	1698757250890	64.3743	-1.50512	-0.724098	0.99563	-0.000105126	0.00134324	0.0933806	1	-1	0	1	0	3929.22	5.77642	img_Car1__0_1698757250889608300.png
Car1	1698757250985	64.9172	-1.41746	-0.724083	0.996153	0.000656518	0.00155182	0.0876202	1	0	0	1	0	4174.58	6.01772	img_Car1__0_1698757250985040400.png
Car1	1698757251082	65.4846	-1.32066	-0.724083	0.996295	0.000439765	0.00166439	0.0859793	1	0	0	1	0	4410.83	6.2765	img_Car1__0_1698757251081844900.png
Car1	1698757251179	66.084	-1.21663	-0.72409	0.996303	0.000183078	0.00175426	0.0858907	1	0	0	1	0	4643.66	6.54073	img_Car1__0_1698757251178765100.png
Car1	1698757251278	66.7071	-1.10844	-0.724097	0.996303	2.57665e-05	0.00182421	0.08589	1	-1	0	1	0	4871.01	6.80229	img_Car1__0_1698757251277384100.png
Car1	1698757251377	67.3845	-1.00289	-0.724079	0.99669	0.000599871	0.00184167	0.0812717	1	0	0	0	0	4802.21	6.85729	img_Car1__0_1698757251376760900.png
Car1	1698757251475	68.0428	-0.902159	-0.723909	0.99693	0.000642839	0.00125658	0.0782796	1	0	0	2	0	4429.28	6.91175	img_Car1__0_1698757251475232500.png
Car1	1698757251574	68.7183	-0.795726	-0.723915	0.996947	0.000374277	0.00127246	0.0780651	0	0	0	2	0	4164.64	7.30032	img_Car1__0_1698757251574210500.png
Car1	1698757251674	69.4319	-0.683312	-0.724061	0.996947	0.000145257	0.0017898	0.0780586	0	0	0	2	0	3276.02	7.65183	img_Car1__0_1698757251673753100.png
Car1	1698757251771	70.1774	-0.565888	-0.72412	0.996946	7.69011e-06	0.00200203	0.0780653	0	0	0	2	0	2449.17	7.91065	img_Car1__0_1698757251771484800.png
Car1	1698757251869	70.9435	-0.445199	-0.724089	0.996946	-5.41988e-05	0.00188945	0.0780712	0	-1	0	2	0	1890.18	8.04148	img_Car1__0_1698757251868780500.png
Car1	1698757251968	71.7178	-0.334396	-0.723981	0.997272	0.00055505	0.00154518	0.073791	0	0	0	2	0	1539.65	8.05542	img_Car1__0_1698757251967505700.png
Car1	1698757252067	72.5042	-0.223823	-0.723837	0.997476	0.000645707	0.0010342	0.0709993	0	0	0	2	0	1326.06	7.99062	img_Car1__0_1698757252067516400.png
Car1	1698757252169	73.3173	-0.110016	-0.723684	0.997562	0.000645719	0.000482244	0.0697838	0	-1	0	2	0	1191.82	7.8697	img_Car1__0_1698757252169128400.png
Car1	1698757252272	74.1304	-0.0233466	-0.723556	0.998246	0.00187881	7.18462e-05	0.059175	0	-1	0	2	0	1103.67	7.70277	img_Car1__0_1698757252271608800.png
